time;model;dataset;n_neighbors;One_nn;T;C
6.792211;pca;difficult;12;0.33984;0.9996;0.9998
6.469808;pca;difficult;13;0.33984;0.9996;0.9998
6.474846;pca;difficult;14;0.33984;0.9996;0.9998
7.766218;pca;difficult;15;0.33984;0.9996;0.9998
1593.637257;pca;mnist;5;0.04415;0.9993;0.9997
1531.852965;pca;mnist;6;0.04415;0.9992;0.9997
1510.178507;pca;mnist;7;0.04415;0.9992;0.9996
2.969916;pca;swiss;5;0.3205;0.8817;0.9976
3.733883;pca;swiss;6;0.3205;0.881;0.9973
4.26719;pca;swiss;7;0.3205;0.881;0.997
2.793916;pca;swiss;8;0.3205;0.8802;0.9966
3.24121;pca;swiss;9;0.3205;0.8809;0.9963
2.908127;pca;swiss;10;0.3205;0.8814;0.996
3.164867;pca;swiss;11;0.3205;0.8811;0.9957
3.101119;pca;swiss;12;0.3205;0.8809;0.9955
2.891195;pca;swiss;13;0.3205;0.8813;0.9952
